Ulaa	Ulan
bayadır	bayağıdır
nenwden	neden
nenwden	neden
direk	direkt
bee	be
desteklemedı	desteklemediği
yaa	ya
bıtıcegını	biteceğini
fak	fuck
suprızlerım	sürprizlerim
demiorm	demiyorum
yuzdn	yüzden
ıstıyodm	istiyordum
ayığp	ayıp
direk	direkt
kii	ki
yaa	ya
at	att
Ms	Mesaj
msgı	mesajı
turkcel	Turkcell
yapio	yapıyor
kullanıyosan	kullanıyorsan
s	siktir
gine	yine
ellerinen	ellerinden
yaa	ya
arkaaş	arkadaş
Hopps	Hop
isdeyim	işteyim
heyt	hey
yuttuu	yuttu
demediğibi	demediğini
türksel	Turkcell
folyeleme	folyolama
arıyalım	arayalım
turkcel	Turkcell
amaa	ama
bekliyim	bekleyeyim
sinirliyimm	sinirliyim
hahahah	hah
at	att
at	att
biliyoruum	biliyorum
turkcel	Turkcell
türksel	Turkcell
bilmiyoduumm	bilmiyordum
mii	mi
hee	he
hee	he
yaa	ya
bunuda	bunu
koyim	koyayım
yaa	ya
atmadıı	atmadı
illigal	illegal
arıyıp	arayıp
kampaya	kampanya
mii	mi
yaa	ya
alıyım	alayım
Kodumunun	Koyduğumun
yedimin	yediğimin
yedimin	yediğimin
bee	be
Vodofon	Vodafone
alio	alıyor
twittr	Twitter
kizmiyorum	kısmıyorum
attıığı	attığı
Türksel	Turkcell
saolsun	sağolsun
koyiyim	koyayım
Turkcel	Turkcell
Aglıorum	Ağlıyorum
turkcel	Turkcell
turkcel	Turkcell
beklıyoruum	bekliyorum
yedimin	yediğimin
yedimin	yediğimin
yedimin	yediğimin
yedimin	yediğimin
yedimin	yediğimin
yedimin	yediğimin
yedimin	yediğimin
yedimin	yediğimin
yedimin	yediğimin
süprizleri	sürprizleri
türkcel	Turkcell
bedeva	bedava
anliyoor	anlıyor
yedimin	yediğimin
yedimin	yediğimin
yedimin	yediğimin
Türksell	Turkcell
sınısız	sınırsız
yedimin	yediğimin
yedimin	yediğimin
needeen	neden
degılsn	değilsin
ssmss	sms
üzerinden	üzerimden
Turkcel	Turkcell
pezevenkını	pezevengini
la	lan
glb	galiba
iştee	işte
kaçman	kalıyor
geciyi	geciyor
dkları	dakikaları
kankimle	kankamla
dklar	dakikalar
konuscklrmz	konuşacaklarımız
pakedimişimdi	pakedimi
yiğitcim	Yiğitciğim
mustrı	müşteri
hızmtlerını	hizmetlerini
aradgmda	aradığımda
herseyımı	her
yedimin	yediğimin
verdige	verdiği
yırtı	yırttı
diorm	diyorum
türkcel	Turkcell
benii	beni
mutu	mutlu
stayle	style
stayle	style
teknolıjı	teknoloji
gderdık	giderdik
hizliysi	hızlı
di	değil
askımm	aşkım
nereya	nereye
stayla	style
stayla	style
yaa	ya
styla	style
styla	style
turkcel	Turkcell
haklıı	haklı
türksel	Turkcell
türksel	Turkcell
syrettigimde	seyrettiğimde
taşırıım	taşırım
yok	var
banvşt	Banvit
tarzimis	tarzımız
arim	arayayım
türksel	Turkcell
Türksel	Turkcell
dende	de
yedimin	yediğimin
söylemee	Söyleme
tm	tamam
trkcll	Turkcell
tm	tamam
yapmiyosa	yapmıyorsa
bahsedion	bahsediyorsun
direk	direkt
bkz	bakınız
yrram	yarağım
tutarımını	tutarımı
Sevgilii	Sevgili
meden	neden
teli	telefonu
odiyeli	ödeyeli
ilginçç	ilginç
bahsedion	bahsediyorsun
Ahh	Ah
siciyim	sıçayım
pakedımı	paketimi
Yavrım	Yavrum
Tskrlr	Teşekkürler
he	hey
silio	siliyor
turksell	Turkcell
turkcel	Turkcell
bimcell	BİMcell
kuvettinle	kuvvetinle
sıkıyım	sikeyim
heralde	herhalde
veremedimm	veremedim
heralde	herhalde
gibi	Sen
gibi	sen
velhasılı	Velhasıl
aldii	aldı
Çokk	Çok
gülüyorumm	gülüyorum
arastrmasıı	araştırması
alemsiin	alemsin
sevıorum	seviyorum
yaa	ya
etmıo	etmiyor
saolsun	sağolsun
türksel	Turkcell
telefonund	telefonundan
stayla	style
sanmışsıınn	sanmışsın
vadfonla	Vodafonla
turksel	Turkcell
sevglm	Sevgilim
arıyosa	arıyorsa
yaratıcılığınız	yaratıcılığınıza
heralde	herhalde
kaziksik	kazıksın
telefonununda	telefonunda
saatları	saatleri
yamyam	stayle
kankam	stayle
türkcell	stayle
hamham	stayle
bir	stayle
kadar	stayle
gagnam	Gangnam
türksel	Turkcell
vodafne	Vodafone
turkcel	Turkcell
sessimden	sesimden
olamicaksin	olamayacaksın
olamicaksaniz	Olamayacaksanız
On	Onn
atıyım	atayım
styleın	stylın
Turkcel	Turkcell
turkcel	Turkcell
Fenarbahçe	Fenerbahçe
Teli	Telefonu
KAdaar	Kadar
Fenarbahçe	Fenerbahçe
bıss	biz
Turksel	Turkcell
geçmiyim	geçmeyeyim
sms	binsms
laan	lan
yaraa	yara
Anca	Ancak
Türksel	Turkcell
sıtayl	stayl
banvitsıtayl	banvitvsıtayl
Turkcel	Turkcell
hmm	hım
trkcll	Turkcell
yanyanaydıık	yanyanaydık
neyy	ne
dakıkalarmı	dakikalarım
kıtlıyor	kısıtlıyor
sizeleri	sizleri
show	şov
türksel	Turkcell
aramasii	araması
konusmalarii	konuşmaları
Oslemisim	Özlemişim
eydi	iyiydi
cook	çok
istiyorumm	istiyorum
taşşak	taşak
bilader	birader
çekersee	çekerse
şekerr	şeker
basliorr	başlıyor
heryöne	her
Ananıı	Ananı
aa	a
çekersee	çekerse
şekerr	şeker
Türksel	Turkcell
grekydu	gerekiyordu
degrmi	değerimi
direk	direkt
yedimin	yediğimin
haramısınız	haramsınız
ınsalah	inşallah
abii	abi
